ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
118,Blues Brothers 2000 (DTS),Universal,Out,DTS,"LBX, 16:9",34.98,PG-13,1998,Comedy,1.85:1,1380
119,Blues Brothers 2000: Collector's Edition,Universal,Out,5.1,"LBX, 16:9",34.98,PG-13,1998,Comedy,1.85:1,1697
120,Blues Brothers: Collector's Edition,Universal,Out,5.1,"LBX, 16:9",34.98,NR,1980,Comedy,1.85:1,2158
121,Body Heat (1981),Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.99,R,1981,Thriller,1.85:1,1955
122,Body Snatchers,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,R,1993,Horror,2.35:1,651
123,Bodyguard,Warner Brothers,Out,5.1,4:03,24.98,R,1992,Action/Adventure,1.33:1,473
124,Boiling Point (1993),Warner Brothers,Out,SUR,4:03,14.98,R,1993,Action/Adventure,1.33:1,270
125,Bone Collector: Collector's Edition,Universal,Out,5.1/DTS,"LBX, 16:9",29.98,R,1999,Mystery/Suspense,2.35:1,1653
126,Bonfire Of The Vanities,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,R,1990,Comedy,1.85:1,2003
127,Bonnie And Clyde (Original Version),Warner Brothers,Discontinued,1,4:03,19.98,NR,1967,Action/Adventure,1.33:1,1417
128,Bonnie And Clyde (Remastered Version),Warner Brothers,Out,1,"4:3, LBX, 16:9",19.98,NR,1967,Drama,1.85:1,1980
129,Boogie Nights: Platinum Edition,New Line,Out,5.1,"LBX, 16:9",24.98,R,1997,Drama,2.35:1,1938
130,Born On The Fourth Of July,Universal,Discontinued,5.1,LBX,26.98,R,1989,Drama,1.85:1,758
131,Born On The Fourth Of July (DTS),Universal,Out,DTS,LBX,34.98,R,1989,Drama,2.35:1,1486
132,Bound For Glory,MGM/UA,Out,1,LBX,24.98,PG,1976,Drama,2.35:1,2015
133,Bowfinger,Universal,Out,5.1/DTS,"LBX, 16:9",26.98,PG-13,1999,Comedy,1.85:1,1917
134,Boxer (DTS),Universal,Out,DTS,"LBX, 16:9",34.98,R,1997,Drama,1.85:1,361
135,Boxer: Collector's Edition,Universal,Out,5.1,"LBX, 16:9",34.98,R,1997,Drama,1.66:1,1431
136,Boys On The Side,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,R,1995,Drama,2.35:1,2108
137,Brainstorm,MGM/UA,Discontinued,SUR,LBX,24.98,PG,1983,Action/Adventure,1.85:1,371
138,Brazil,Universal,Out,SUR,LBX,24.98,R,1985,SciFi,1.85:1,754
139,Breakdown,Paramount,Out,5.1,LBX,29.99,R,1997,Mystery/Suspense,2.35:1,1481
140,Breakfast At Tiffany's,Paramount,Out,1,"LBX, 16:9",29.99,NR,1961,Comedy,1.85:1,2246
141,Breakfast Club,Universal,Out,1,LBX,24.98,R,1985,Drama,1.85:1,62
142,Breathless,MGM/UA,Out,2,4:03,24.98,R,1983,Drama,1.33:1,1290
143,Bride Of Chucky,Universal,Out,5.1,"LBX, 16:9",24.98,R,1998,Horror,1.85:1,2245
